"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","GA Sessions","GA Bounce Rate","GA Page Views","GA Avg Time on Page","GA Transactions","Clicks","Impressions","CTR","Position","URL Encoded Address"
"https://www.crohnscolitisfoundation.org/health-insurance","text/html; charset=UTF-8","403","Forbidden","","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","","","","","","","","","","0.081","Fri, 07 Feb 2020 00:26:57 GMT","","","","","","","","","","","","https://www.crohnscolitisfoundation.org/health-insurance"
"https://www.crohnscolitisfoundation.org/science-and-professionals/education-resources/clinical-pearls","text/html; charset=UTF-8","200","OK","","","Clinical Pearls | Crohn's & Colitis Foundation","46","392","","0","0","","0","Clinical Pearls","15","","0","Breadcrumb","10","","0","","","","","","","","","","","","0","","","","","","","","","","0.088","Fri, 07 Feb 2020 00:26:57 GMT","","","328","60.98","1416","00:01:41","0","2","142","0.0141","28.42","https://www.crohnscolitisfoundation.org/science-and-professionals/education-resources/clinical-pearls"
"https://www.crohnscolitisfoundation.org/2019-summer-webinar-series-expanding-your-diet-without-triggering-symptoms","text/html; charset=UTF-8","200","OK","","","2019 Summer Webinar Series: Expanding Your Diet Without Triggering Symptoms | Crohn's & Colitis Foundation","106","1000","Join us for the final webinar of our 2019 Summer Series: Health & Nutrition!

Our free webinar series will explore various components of Health & Nutrition relevant to the IBD community. This webinar will focus on expanding your diet to include foods without triggering your symptoms. In this webinar, you'll learn the most common foods that could be worsening your symptoms and better tolerated alternatives, which will help expand the variety in your diet while keeping your symptoms at bay.","493","3104","","0","2019 Summer Webinar Series: Expanding Your Diet Without Triggering Symptoms","75","","0","Breadcrumb","10","For more information","20","","","","","","","","","","","","0","","","","","","","","","","0.103","Fri, 07 Feb 2020 00:26:57 GMT","","","6","0.0","56","00:00:37","0","0","15","0.0","14.33","https://www.crohnscolitisfoundation.org/2019-summer-webinar-series-expanding-your-diet-without-triggering-symptoms"
"https://www.crohnscolitisfoundation.org/autumn-affair","text/html; charset=UTF-8","200","OK","","","An Autumn Affair | Crohn's & Colitis Foundation","47","420","Join us for a first-time event for the Wisconsin Chapter! Join us for an evening cocktail soiree held at a new event space in Wauwatosa called Birch. An Autumn Affair is designed to further awareness of Crohn's disease and ulcerative colitis and to raise funds to support the chapter's programs and services.","308","1931","","0","An Autumn Affair","16","","0","Breadcrumb","10","For more information","20","","","","","","","","","","","","0","","","","","","","","","","0.155","Fri, 07 Feb 2020 00:26:57 GMT","","","318","89.31","496","00:03:18","0","2","76","0.0263","7.09","https://www.crohnscolitisfoundation.org/autumn-affair"
"https://www.crohnscolitisfoundation.org/get-involved/be-an-advocate/restroom-access","text/html; charset=UTF-8","200","OK","","","Restroom Access | Crohn's & Colitis Foundation","46","425","","0","0","","0","","0","","0","What is the Restroom Access Act? ","33","","0","","","","","","","","","","","","0","","","","","","","","","","0.112","Fri, 07 Feb 2020 00:26:57 GMT","","","1004","66.14","2002","00:01:50","0","37","1035","0.0357","8.53","https://www.crohnscolitisfoundation.org/get-involved/be-an-advocate/restroom-access"
"https://www.crohnscolitisfoundation.org/complementary-medicine/providers","text/html; charset=UTF-8","200","OK","","","Choosing a Provider | Crohn's & Colitis Foundation","50","448","","0","0","","0","Choosing a Provider","19","","0","Breadcrumb","10","","0","","","","","","","","","","","","0","","","","","","","","","","0.122","Fri, 07 Feb 2020 00:27:00 GMT","","","","","69","00:00:22","","","","","","https://www.crohnscolitisfoundation.org/complementary-medicine/providers"
"https://www.crohnscolitisfoundation.org/cheers-cure","text/html; charset=UTF-8","403","Forbidden","","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","","","","","","","","","","0.149","Fri, 07 Feb 2020 00:27:00 GMT","","","","","","","","","","","","https://www.crohnscolitisfoundation.org/cheers-cure"
"https://www.crohnscolitisfoundation.org/get-involved/camp-oasis/safety-medical-care","text/html; charset=UTF-8","200","OK","","","Safety & Medical Care | Crohn's & Colitis Foundation","52","467","Camp Oasis meets the highest standards of safety and medical care for all children in their camps.","98","623","","0","Safety & Medical Care","21","","0","Breadcrumb","10","","0","","","","","","","","","","","","0","","","","","","","","","","0.089","Fri, 07 Feb 2020 00:25:48 GMT","","","44","36.36","381","00:00:58","0","0","31","0.0","29.23","https://www.crohnscolitisfoundation.org/get-involved/camp-oasis/safety-medical-care"
"https://www.crohnscolitisfoundation.org/get-involved/camp-oasis/volunteer-support","text/html; charset=UTF-8","200","OK","","","Volunteer & Support Camp Oasis | Crohn's & Colitis Foundation","61","564","You can support Camp Oasis by becoming a camp volunteer or by making a financial gift.","86","566","","0","Volunteer & Support Camp Oasis","30","","0","Breadcrumb","10","","0","","","","","","","","","","","","0","","","","","","","","","","0.082","Fri, 07 Feb 2020 00:27:00 GMT","","","440","30.45","3097","00:00:45","0","36","2885","0.0125","5.65","https://www.crohnscolitisfoundation.org/get-involved/camp-oasis/volunteer-support"
"https://www.crohnscolitisfoundation.org/youth-activity-group-portland-or-portland-oregon","text/html; charset=UTF-8","200","OK","","","Youth Activity Group, Portland, OR Portland, Oregon | Crohn's & Colitis Foundation","82","738","Welcome to the Portland IBD Youth Group!","40","272","","0","Youth Activity Group, Portland, OR Portland, Oregon","51","","0","Breadcrumb","10","","0","","","","","","","","","","","","0","","","","","","","","","","0.126","Fri, 07 Feb 2020 00:27:00 GMT","","","25","88.0","56","00:02:22","0","0","5","0.0","34.8","https://www.crohnscolitisfoundation.org/youth-activity-group-portland-or-portland-oregon"
"https://www.crohnscolitisfoundation.org/what-is-ibd","text/html; charset=UTF-8","200","OK","","","What is IBD? | Crohn's & Colitis Foundation","43","385","The first step after a diagnosis of IBD is to learn all you can. We can help you prepare for a life with inflammatory bowel disease with information on medication and treatments, symptoms, and what to expect.","208","1307","","0","What is IBD?","12","","0","Learn about IBD","15","Can we help you?","16","","","","","","","","","","","","0","","","","","","","","","","0.233","Fri, 07 Feb 2020 00:31:00 GMT","","","8032","55.96","13640","00:01:37","0","317","99172","0.0032","12.3","https://www.crohnscolitisfoundation.org/what-is-ibd"
"https://www.crohnscolitisfoundation.org/youth-parent-resources/kids/importance-of-planning","text/html; charset=UTF-8","200","OK","","","Planning with Your Child | Crohn's & Colitis Foundation","55","483","Guiding your child through diagnosis and management of their Crohn’s disease and ulcerative colitis is a delicate and often overwhelming task.

The best way to help your child manage his or her illness is for you and your child to be prepared and informed. We can help you start and continue the conversation with your child, the school system and your employer. Your child’s success is achievable!","398","2513","","0","Planning with Your Child","24","","0","Breadcrumb","10","Talking to Your Child About IBD","31","","","","","","","","","","","","0","","","","","","","","","","0.194","Fri, 07 Feb 2020 00:31:00 GMT","","","299","63.55","1725","00:02:16","0","0","24","0.0","17.92","https://www.crohnscolitisfoundation.org/youth-parent-resources/kids/importance-of-planning"
